,,,,,Ease of doing business,,,,,Starting a business,,,,,,,,,,,,,,,,Dealing with construction permits,,,,,,,,,,,,,,,,,Getting electricity,,,,,,,,,,,,,,,,,,,,,Registering property,,,,,,,,,,,,,,,,,,,Getting credit,,,,,,,,,,,,,,,Protecting minority investors,,,,,,,,,,,,,,,,,,,,,Paying taxes,,,,,,,,,,,,,,,,,,,,,Trading across borders ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enforcing contracts,,,,,,,,,,,,,,,,,,,,,,,,,Resolving insolvency,,,,,,,,,,,,,
AFG,Afghanistan,South Asia,Low income,2014,,,,40.33,40.69,,91.55,4,6,14.4,5,7,14.4,0,82.35,94.47,92.82,76.47,93.47,92.82,100,,,24.49,13,354,66.9,,,,,,,,68,5.48,0,,,,59.67,6,114,2368.5,,,,,,,,,,,,50,58.26,70.76,,,,,33.33,9,250,5,,,,,,,,33.33,0,66.67,,,,45,43.75,7,9,0,0,0,0,7,9,70,0,75,0,,10,10,1,1,1,3,0,0,1,1.7,0.3,1,1,10,10,10,30,0,0,10,,,75.03,19,275,35.6,0,0,35.6,,,,,,73.33,65.07,86.69,,,,,,,10.76,10,10,4820,5376,81,85,,,,,,,,,11.11,38.46,3.91,11.09,0,0,,,,,,,,,,,,29.79,46,1642,40,1420,182,29,24,5,0,,,,,,,,21.88,0,67.49,,,,23.62,28.49,0,2,25,26.5,3,2,0,0,1,28.49,18.75
AFG,Afghanistan,South Asia,Low income,2015,,,41.37,41.69,,,90.95,4,8,15.1,5,9,15.1,0,82.35,92.46,92.44,76.47,91.46,92.44,100,,33.7,39.38,13,199,59.4,2.5,0.5,1,0,0,1,0,68,50.14,0,16.67,,45.63,60.84,6,114,2084,0,0,615,250,N/A,1,0,1,0,0,23.3,50,58.26,74.27,0,,,27.5,33.33,9,250,5,3,,0,0,0,3,,33.33,0,66.67,10,,,45,,,9,,0,0,0,,9,,,75,0,,10,,1,1,,3,0,0,1,1.7,0.3,,1,10,10,,30,0,0,10,,,74.79,19,275,36.1,0,0,36.1,,,,,,73.33,65.07,85.96,,,,,,28.9,9.21,10,10,5045,5680,86,91,243,336,48,96,344,900,511,850,11.11,38.46,0,5.68,0,0,0,0,70.44,65.95,13.89,0,51.78,29.17,,,33.61,29.79,46,1642,40,1420,182,29,24,5,0,6,,3,,1,0,2,21.88,0,67.49,33.33,,,23.6,,0,2,25,26.4,3,2,0,0,1,28.45,18.75
AFG,Afghanistan,South Asia,Low income,2016,,39.26,41.31,,,,90.47,4,8,19,5,9,19,0,82.35,92.46,90.51,76.47,91.46,90.51,100,,33.7,,13,199,61.2,2.5,0.5,1,0,0,1,0,68,50.14,0,16.67,,45.51,,6,114,2124,0,0,1825,620,N/A,1,0,1,0,0,22,50,58.26,73.78,0,,27.5,27.5,,9,250,5,3,3,0,0,0,3,0,33.33,0,66.67,10,10,,45,,,9,,0,0.5,0,,9,,,75,0,,10,,1,1,,3,0,0,1,1.7,0.3,,1,10,10,,30,0,0,10,,56.09,74.79,19,275,36.1,0,0,36.1,No VAT,No VAT,207.5,37.7,0,73.33,65.07,85.96,No VAT,No VAT,0,0,,28.9,,,,,,,,243,336,48,96,344,900,511,850,,,,,,,0,0,70.44,65.95,13.89,0,51.78,29.17,,31.76,33.61,,,1642,40,1420,182,29,24,5,0,6,5,3,2,1,0,2,,0,67.49,33.33,27.78,,23.62,,0,2,25,26.5,3,2,0,0,1,28.49,18.75
AFG,Afghanistan,South Asia,Low income,2017,,38.94,,,,,90.35,4,8,19.9,5,9,19.9,0,82.35,92.46,90.05,76.47,91.46,90.05,100,,33.7,,13,199,66,2.5,0.5,1,0,0,1,0,68,50.14,0,16.67,,45.04,,6,114,2274.7,0,0,..,..,N/A,1,0,0,0,0,20.9,50,58.26,71.92,0,,27.5,,,9,250,5,3,3,0,0,0,3,0,33.33,0,66.67,10,10,,45,,,9,,0,0.8,0,,9,,,75,0,,10,,1,1,,3,0,0,1,1.7,0.3,,1,10,10,,30,0,0,10,,51.75,,19,275,47.9,0,0,47.9,No VAT,No VAT,207.5,37.7,0,73.33,65.07,68.58,No VAT,No VAT,0,0,,30.63,,,,,,,,228,324,48,96,344,900,453,750,,,,,,,0,0,70.44,65.95,13.89,0,57.29,37.5,,31.76,,,,1642,40,1420,182,29,24,5,0,6,5,3,2,1,0,2,,0,67.49,33.33,27.78,,23.62,,0,2,25,26.5,3,2,0,0,1,28.49,18.75
AFG,Afghanistan,South Asia,Low income,2018,,37.13,,,,,82.55,4,8,82.3,5,9,82.3,0,82.35,92.46,58.85,76.47,91.46,58.85,100,,33.7,,13,199,71.7,2.5,0.5,1,0,0,1,0,68,50.14,0,16.67,,44.58,,6,114,2426.7,0,0,..,..,N/A,1,0,0,0,0,18.6,50,58.26,70.04,0,,27.5,,,9,250,5,3,3,0,0,0,3,0,33.33,0,66.67,10,10,,45,,,9,,0,1,0,,9,,,75,0,,10,,1,1,,3,0,0,1,1.7,0.3,,1,10,10,,30,0,0,10,,41.97,,19,275,71.4,0,0,71.4,No VAT,No VAT,207.5,37.7,0,73.33,65.07,29.46,No VAT,No VAT,0,0,,30.63,,,,,,,,228,324,48,96,344,900,453,750,,,,,,,0,0,70.44,65.95,13.89,0,57.29,37.5,,31.76,,,,1642,40,1420,182,29,24,5,0,6,5,,2,1,0,2,,0,67.49,33.33,27.78,,23.62,,0,2,25,26.5,3,2,0,0,1,28.49,18.75
AFG,Afghanistan,South Asia,Low income,2019,167,47.77,,,,49,92.04,4,8,6.4,5,9,6.4,0,82.35,92.46,96.79,76.47,91.46,96.79,100,184,34.54,,13,199,73,3,1,1,0,0,1,0,68,50.14,0,20,168,44.51,,6,114,2448.3,0,0,..,..,N/A,1,0,0,0,0,17.6,50,58.26,69.77,0,186,27.5,,,9,250,5,3,3,0,0,0,3,0,33.33,0,66.67,10,10,99,50,,,10,,0,1.3,0,,10,,,83.33,0,26,71.67,,8,1,,9,9,9,7,6,8.3,,7,80,10,,90,90,90,70,177,43.27,,19,270,71.4,0,0,71.4,No VAT,No VAT,111,29.1,4.46,73.33,65.84,29.46,No VAT,No VAT,0,8.93,177,30.63,,,,,,,,228,324,48,96,344,900,453,750,,,,,,,0,0,70.44,65.95,13.89,0,57.29,37.5,181,31.76,,,,1642,40,1420,182,29,24,5,0,6,5,,2,1,0,2,,0,67.49,33.33,27.78,74,51.78,,0,2,25,26.5,12,2,6,2,2,28.57,75
ALB,Albania,Europe & Central Asia,Upper middle income,2004,,,,,,,63.68,12,41,57.1,12,41,57.1,45.3,35.29,59.3,71.46,35.29,59.3,71.46,88.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,39,390,,,,38.7,,,,,,,,,,,43.75,77.87,56.58,,,,,40.49,0,2,10,37.6,,,,,,40.49,
ALB,Albania,Europe & Central Asia,Upper middle income,2005,,,,,,,67.28,12,40,32.3,12,40,32.3,41.3,35.29,60.3,83.83,35.29,60.3,83.83,89.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,17.9,,,,,,,,58.33,80.38,0,,,,,56.25,9,,0,,0,0,9,,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,39,390,,,,38.7,,,,,,,,,,,43.75,77.87,56.58,,,,,41.22,0,2,10,38.3,,,,,,41.22,
ALB,Albania,Europe & Central Asia,Upper middle income,2006,,,,,,,67.25,12,41,31.3,12,41,31.3,39.9,35.29,59.3,84.37,35.29,59.3,84.37,90.02,,,36.5,23,366,4.1,,,,,,,,28,2.02,79.49,,,,,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,17.4,,,,,,,,58.33,80.38,0,,,,,56.25,9,,0,,0,0,9,,90,0,,,,,26.67,0,5,3,,,,,,,3,,0,50,30,,,,,,,44.37,45,364,58.6,20.1,34.6,3.9,,,,,,30,51.31,51.79,,,,,,,68.85,7,8,1019,1022,21,22,,,,,,,,,44.44,53.85,86.72,88.4,68.75,70.97,,,,,,,,,,,,59.4,39,390,,,,38.7,,,,,,,,,,,43.75,77.87,56.58,,,,,43.09,0,2,10,40,,,,,,43.09,
ALB,Albania,Europe & Central Asia,Upper middle income,2007,,,,,,,69.04,12,39,22.5,12,39,22.5,36.7,35.29,61.31,88.73,35.29,61.31,88.73,90.82,,,26.96,23,366,9.8,,,,,,,,28,2.02,50.86,,,,,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,16.2,,,,,,,,58.33,80.38,0,,,,,56.25,9,,0,,0,0,9,,90,0,,,,,23.33,0,4,3,,,,,,,2,,0,40,30,,,,,,,45.83,44,364,56.9,18.5,34.6,3.8,,,,,,31.67,51.31,54.52,,,,,,,69.08,7,8,985,988,21,22,,,,,,,,,44.44,53.85,87.47,89.01,68.75,70.97,,,,,,,,,,,,59.4,39,390,,,,38.7,,,,,,,,,,,43.75,77.87,56.58,,,,,42.09,0,2,10,39.1,,,,,,42.09,
ALB,Albania,Europe & Central Asia,Upper middle income,2008,,,,,,,68.21,11,37,46.1,11,37,46.1,34.3,41.18,63.32,76.93,41.18,63.32,76.93,91.42,,,36.86,23,365,3.9,,,,,,,,28,2.31,80.26,,,,,,,,,,,,,,,,,,,,,,,,,,46.24,6,42,15.2,,,,,,,,58.33,80.38,0,,,,,56.25,9,,0,,0,0,9,,90,0,,,,,23.33,0,4,3,,,,,,,2,,0,40,30,,,,,,,51.29,44,364,46.3,17.8,24.5,4.1,,,,,,31.67,51.31,70.88,,,,,,,69.77,7,8,880,886,21,22,,,,,,,,,44.44,53.85,89.77,90.82,68.75,70.97,,,,,,,,,,,,59.4,39,390,,,,38.7,,,,,,,,,,,43.75,77.87,56.58,,,,,39.59,0,2,10,36.8,,,,,,39.59,
ALB,Albania,Europe & Central Asia,Upper middle income,2009,,,,,,,82,8,10,42.5,8,10,42.5,0,58.82,90.45,78.73,58.82,90.45,78.73,100,,,36.91,23,365,3.9,,,,,,,,28,2.31,80.43,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,6,42,14.4,,,,,,,,58.33,80.38,3.78,,,,,87.5,9,,5,,6.8,0,14,,90,83.33,,,,,70,7,7,7,,,,,,,7,,70,70,70,,,,,,,49.24,44,368,50,16.8,28.6,4.5,,,,,,31.67,50.7,65.36,,,,,,,69.69,7,8,891,897,21,22,,,,,,,,,44.44,53.85,89.52,90.61,68.75,70.97,,,,,,,,,,,,59.4,39,390,,,,38.7,,,,,,,,,,,43.75,77.87,56.58,,,,,41.67,0,2,10,38.7,,,,,,41.67,
ALB,Albania,Europe & Central Asia,Upper middle income,2010,,,,,61.56,,87.24,6,6,32.2,6,6,32.2,0,70.59,94.47,83.91,70.59,94.47,83.91,100,,,37.08,23,365,3.8,,,,,,,,28,2.31,80.95,,,,57.76,6,177,614.5,,,,,,,,,,,,50,30.87,92.41,,,,,50.55,6,42,13.1,,,,,,,,58.33,80.38,12.94,,,,,87.5,9,,5,,9.9,0,14,,90,83.33,,,,,70,7,7,7,,,,,,,7,,70,70,70,,,,,,,52.27,44,368,44,8.1,31.9,4,,,,,,31.67,50.7,74.45,,,,,,,72.1,7,8,804,787,19,18,,,,,,,,,44.44,53.85,91.42,92.56,72.92,77.42,,,,,,,,,,,,59.4,39,390,,,,38.7,,,,,,,,,,,43.75,77.87,56.58,,,,,41.67,0,2,10,38.7,,,,,,41.67,
