Country,Year,Energy use (kg of oil equivalent per capita),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Individuals using the Internet (% of population),"International migrant stock, total"
"egypt, arab rep.",1961,,,,
euro area,1961,1455.391677,,,
eritrea,1961,,,,
spain,1961,557.5992908,,,
estonia,1961,,,,
ethiopia,1961,,,,
european union,1961,1762.435238,,,
fragile and conflict affected situations,1961,,,,
finland,1961,2252.77869,,,
fiji,1961,,,,
france,1961,1745.200918,,,
faroe islands,1961,,,,
"micronesia, fed. sts.",1961,,,,
gabon,1961,,,,
united kingdom,1961,3006.747386,,,
georgia,1961,,,,
ghana,1961,,,,
gibraltar,1961,,,,
guinea,1961,,,,
"gambia, the",1961,,,,
guinea-bissau,1961,,,,
equatorial guinea,1961,,,,
greece,1961,322.4905782,,,
grenada,1961,,,,
greenland,1961,,,,
guatemala,1961,,,,
guam,1961,,,,
guyana,1961,,,,
high income,1961,2795.994301,,,
"hong kong sar, china",1961,,,,
honduras,1961,,,,
heavily indebted poor countries (hipc),1961,,,,
croatia,1961,,,,
haiti,1961,,,,
hungary,1961,,,,
ibrd only,1961,,,,
ida & ibrd total,1961,,,,
ida total,1961,,,,
ida blend,1961,,,,
indonesia,1961,,,,
ida only,1961,,,,
isle of man,1961,,,,
india,1961,,,,
not classified,1961,,,,
ireland,1961,1396.466152,,,
"iran, islamic rep.",1961,,,,
iraq,1961,,,,
iceland,1961,2916.706232,,,
israel,1961,,,,
italy,1961,890.6883461,,,
jamaica,1961,,,,
jordan,1961,,,,
japan,1961,962.9071127,,,
kazakhstan,1961,,,,
kenya,1961,,,,
kyrgyz republic,1961,,,,
cambodia,1961,,,,
kiribati,1961,,,,
st. kitts and nevis,1961,,,,
"korea, rep.",1961,,,,
kuwait,1961,,,,
latin america & caribbean (excluding high income),1961,,,,
lao pdr,1961,,,,
lebanon,1961,,,,
liberia,1961,,,,
libya,1961,,,,
st. lucia,1961,,,,
latin america & caribbean,1961,,,,
least developed countries: un classification,1961,,,,
low income,1961,,,,
liechtenstein,1961,,,,
sri lanka,1961,,,,
lower middle income,1961,,,,
low & middle income,1961,,,,
lesotho,1961,,,,
late-demographic dividend,1961,,,,
lithuania,1961,,,,
luxembourg,1961,10534.01821,,,
latvia,1961,,,,
"macao sar, china",1961,,,,
st. martin (french part),1961,,,,
morocco,1961,,,,
monaco,1961,,,,
moldova,1961,,,,
madagascar,1961,,,,
maldives,1961,,,,
middle east & north africa,1961,,,,
mexico,1961,,,,
marshall islands,1961,,,,
middle income,1961,,,,
north macedonia,1961,,,,
mali,1961,,,,
malta,1961,,,,
myanmar,1961,,,,
middle east & north africa (excluding high income),1961,,,,
montenegro,1961,,,,
mongolia,1961,,,,
northern mariana islands,1961,,,,
mozambique,1961,,,,
mauritania,1961,,,,
mauritius,1961,,,,
malawi,1961,,,,
malaysia,1961,,,,
north america,1961,5494.086457,,,
namibia,1961,,,,
new caledonia,1961,,,,
niger,1961,,,,
nigeria,1961,,,,
nicaragua,1961,,,,
netherlands,1961,1879.150201,,,
norway,1961,1937.644745,,,
nepal,1961,,,,
nauru,1961,,,,
new zealand,1961,1763.259908,,,
oecd members,1961,2698.623145,,,
oman,1961,,,,
other small states,1961,,,,
pakistan,1961,,,,
panama,1961,,,,
peru,1961,,,,
philippines,1961,,,,
palau,1961,,,,
papua new guinea,1961,,,,
poland,1961,1894.057436,,,
pre-demographic dividend,1961,,,,
puerto rico,1961,,,,
"korea, dem. people’s rep.",1961,,,,
portugal,1961,365.8401159,,,
paraguay,1961,,,,
west bank and gaza,1961,,,,
pacific island small states,1961,,,,
post-demographic dividend,1961,2844.692224,,,
french polynesia,1961,,,,
qatar,1961,,,,
romania,1961,,,,
russian federation,1961,,,,
rwanda,1961,,,,
south asia,1961,,,,
saudi arabia,1961,,,,
sudan,1961,0,,,
senegal,1961,,,,
singapore,1961,,,,
solomon islands,1961,,,,
sierra leone,1961,,,,
el salvador,1961,,,,
san marino,1961,,,,
somalia,1961,,,,
serbia,1961,,,,
sub-saharan africa (excluding high income),1961,,,,
south sudan,1961,,,,
sub-saharan africa,1961,,,,
small states,1961,,,,
sao tome and principe,1961,,,,
suriname,1961,,,,
slovak republic,1961,,,,
slovenia,1961,,,,
sweden,1961,2742.123469,,,
eswatini,1961,,,,
sint maarten (dutch part),1961,,,,
seychelles,1961,,,,
syrian arab republic,1961,,,,
turks and caicos islands,1961,,,,
chad,1961,,,,
east asia & pacific (ida & ibrd countries),1961,,,,
europe & central asia (ida & ibrd countries),1961,,,,
togo,1961,,,,
thailand,1961,,,,
tajikistan,1961,,,,
turkmenistan,1961,,,,
latin america & the caribbean (ida & ibrd countries),1961,,,,
timor-leste,1961,,,,
middle east & north africa (ida & ibrd countries),1961,,,,
tonga,1961,,,,
south asia (ida & ibrd),1961,,,,
sub-saharan africa (ida & ibrd countries),1961,,,,
trinidad and tobago,1961,,,,
tunisia,1961,,,,
turkey,1961,385.4709807,,,
tuvalu,1961,,,,
tanzania,1961,,,,
uganda,1961,,,,
ukraine,1961,,,,
upper middle income,1961,,,,
uruguay,1961,,,,
united states,1961,5612.079503,,,
uzbekistan,1961,,,,
st. vincent and the grenadines,1961,,,,
"venezuela, rb",1961,,,,
british virgin islands,1961,,,,
virgin islands (u.s.),1961,,,,
vietnam,1961,,,,
vanuatu,1961,,,,
world,1961,,,,
samoa,1961,,,,
kosovo,1961,,,,
"yemen, rep.",1961,,,,
south africa,1961,,,,
zambia,1961,,,,
zimbabwe,1961,,,,
aruba,1962,,,,
afghanistan,1962,,,,
angola,1962,,,,
albania,1962,,,,
andorra,1962,,,,
arab world,1962,,,,
united arab emirates,1962,,,,
argentina,1962,,,,
armenia,1962,,,,
american samoa,1962,,,,
antigua and barbuda,1962,,,,
australia,1962,3172.974865,,,
austria,1962,1675.873621,,,
azerbaijan,1962,,,,
burundi,1962,,,,
belgium,1962,2810.061148,,,
benin,1962,,,,
burkina faso,1962,,,,
bangladesh,1962,,,,
bulgaria,1962,,,,
bahrain,1962,,,,
"bahamas, the",1962,,,,
bosnia and herzegovina,1962,,,,
belarus,1962,,,,
belize,1962,,,,
bermuda,1962,,,,
bolivia,1962,,,,
brazil,1962,,,,
barbados,1962,,,,
brunei darussalam,1962,,,,
bhutan,1962,,,,
botswana,1962,,,,
central african republic,1962,,,,
canada,1962,4451.560116,,,
central europe and the baltics,1962,,,,
switzerland,1962,1568.91106,,,
channel islands,1962,,,,
chile,1962,,,,
china,1962,,,,
cote d'ivoire,1962,,,,
cameroon,1962,,,,
"congo, dem. rep.",1962,,,,
"congo, rep.",1962,,,,
colombia,1962,,,,
comoros,1962,,,,
cabo verde,1962,,,,
costa rica,1962,,,,
caribbean small states,1962,,,,
cuba,1962,,,,
curacao,1962,,,,
cayman islands,1962,,,,
cyprus,1962,,,,
czech republic,1962,,,,
germany,1962,2124.848539,,,
djibouti,1962,,,,
dominica,1962,,,,
denmark,1962,2296.289563,,,
dominican republic,1962,,,,
algeria,1962,,,,
east asia & pacific (excluding high income),1962,,,,
early-demographic dividend,1962,,,,
east asia & pacific,1962,,,,
europe & central asia (excluding high income),1962,,,,
europe & central asia,1962,,,,
ecuador,1962,,,,
"egypt, arab rep.",1962,,,,
euro area,1962,1567.863003,,,
eritrea,1962,,,,
spain,1962,605.2235273,,,
estonia,1962,,,,
ethiopia,1962,,,,
european union,1962,1870.175767,,,
fragile and conflict affected situations,1962,,,,
finland,1962,2361.743876,,,
fiji,1962,,,,
france,1962,1861.042144,,,
faroe islands,1962,,,,
"micronesia, fed. sts.",1962,,,,
gabon,1962,,,,
united kingdom,1962,3087.341972,,,
georgia,1962,,,,
ghana,1962,,,,
gibraltar,1962,,,,
guinea,1962,,,,
"gambia, the",1962,,,,
guinea-bissau,1962,,,,
equatorial guinea,1962,,,,
greece,1962,350.1012579,,,
grenada,1962,,,,
greenland,1962,,,,
guatemala,1962,,,,
guam,1962,,,,
guyana,1962,,,,
high income,1962,2914.350279,,,
"hong kong sar, china",1962,,,,
honduras,1962,,,,
heavily indebted poor countries (hipc),1962,,,,
croatia,1962,,,,
haiti,1962,,,,
hungary,1962,,,,
ibrd only,1962,,,,
ida & ibrd total,1962,,,,
ida total,1962,,,,
ida blend,1962,,,,
indonesia,1962,,,,
ida only,1962,,,,
isle of man,1962,,,,
india,1962,,,,
not classified,1962,,,,
ireland,1962,1412.729677,,,
"iran, islamic rep.",1962,,,,
iraq,1962,,,,
iceland,1962,3028.298369,,,
israel,1962,,,,
italy,1962,1007.048347,,,
jamaica,1962,,,,
jordan,1962,,,,
japan,1962,1003.752254,,,
kazakhstan,1962,,,,
kenya,1962,,,,
kyrgyz republic,1962,,,,
cambodia,1962,,,,
kiribati,1962,,,,
st. kitts and nevis,1962,,,,
"korea, rep.",1962,,,,
kuwait,1962,,,,
latin america & caribbean (excluding high income),1962,,,,
lao pdr,1962,,,,
lebanon,1962,,,,
liberia,1962,,,,
libya,1962,,,,
st. lucia,1962,,,,
latin america & caribbean,1962,,,,
least developed countries: un classification,1962,,,,
low income,1962,,,,
liechtenstein,1962,,,,
sri lanka,1962,,,,
lower middle income,1962,,,,
low & middle income,1962,,,,
lesotho,1962,,,,
late-demographic dividend,1962,,,,
lithuania,1962,,,,
luxembourg,1962,10414.54092,,,
latvia,1962,,,,
"macao sar, china",1962,,,,
st. martin (french part),1962,,,,
morocco,1962,,,,
monaco,1962,,,,
moldova,1962,,,,
madagascar,1962,,,,
maldives,1962,,,,
middle east & north africa,1962,,,,
mexico,1962,,,,
marshall islands,1962,,,,
middle income,1962,,,,
north macedonia,1962,,,,
mali,1962,,,,
malta,1962,,,,
myanmar,1962,,,,
middle east & north africa (excluding high income),1962,,,,
montenegro,1962,,,,
mongolia,1962,,,,
northern mariana islands,1962,,,,
mozambique,1962,,,,
mauritania,1962,,,,
mauritius,1962,,,,
malawi,1962,,,,
malaysia,1962,,,,
north america,1962,5654.544543,,,
namibia,1962,,,,
new caledonia,1962,,,,
niger,1962,,,,
nigeria,1962,,,,
nicaragua,1962,,,,
netherlands,1962,2081.011621,,,
norway,1962,2052.054484,,,
nepal,1962,,,,
nauru,1962,,,,
new zealand,1962,1791.461322,,,
oecd members,1962,2812.01526,,,
oman,1962,,,,
other small states,1962,,,,
pakistan,1962,,,,
panama,1962,,,,
peru,1962,,,,
philippines,1962,,,,
palau,1962,,,,
papua new guinea,1962,,,,
poland,1962,1976.859792,,,
pre-demographic dividend,1962,,,,
puerto rico,1962,,,,
"korea, dem. people’s rep.",1962,,,,
portugal,1962,363.164048,,,
paraguay,1962,,,,
west bank and gaza,1962,,,,
pacific island small states,1962,,,,
post-demographic dividend,1962,2965.120918,,,
french polynesia,1962,,,,
qatar,1962,,,,
romania,1962,,,,
russian federation,1962,,,,
rwanda,1962,,,,
south asia,1962,,,,
saudi arabia,1962,,,,
sudan,1962,0,,,
senegal,1962,,,,
singapore,1962,,,,
solomon islands,1962,,,,
sierra leone,1962,,,,
el salvador,1962,,,,
san marino,1962,,,,
somalia,1962,,,,
serbia,1962,,,,
sub-saharan africa (excluding high income),1962,,,,
south sudan,1962,,,,
sub-saharan africa,1962,,,,
small states,1962,,,,
sao tome and principe,1962,,,,
suriname,1962,,,,
slovak republic,1962,,,,
slovenia,1962,,,,
sweden,1962,2887.236252,,,
eswatini,1962,,,,
sint maarten (dutch part),1962,,,,
seychelles,1962,,,,
syrian arab republic,1962,,,,
turks and caicos islands,1962,,,,
chad,1962,,,,
east asia & pacific (ida & ibrd countries),1962,,,,
europe & central asia (ida & ibrd countries),1962,,,,
togo,1962,,,,
thailand,1962,,,,
tajikistan,1962,,,,
turkmenistan,1962,,,,
latin america & the caribbean (ida & ibrd countries),1962,,,,
timor-leste,1962,,,,
middle east & north africa (ida & ibrd countries),1962,,,,
tonga,1962,,,,
south asia (ida & ibrd),1962,,,,
sub-saharan africa (ida & ibrd countries),1962,,,,
trinidad and tobago,1962,,,,
tunisia,1962,,,,
turkey,1962,411.1190346,,,
tuvalu,1962,,,,
tanzania,1962,,,,
uganda,1962,,,,
ukraine,1962,,,,
upper middle income,1962,,,,
uruguay,1962,,,,
united states,1962,5774.586315,,,
uzbekistan,1962,,,,
st. vincent and the grenadines,1962,,,,
"venezuela, rb",1962,,,,
british virgin islands,1962,,,,
virgin islands (u.s.),1962,,,,
vietnam,1962,,,,
vanuatu,1962,,,,
world,1962,,,,
samoa,1962,,,,
kosovo,1962,,,,
"yemen, rep.",1962,,,,
south africa,1962,,,,
zambia,1962,,,,
zimbabwe,1962,,,,
aruba,1963,,,,
afghanistan,1963,,,,
angola,1963,,,,
albania,1963,,,,
andorra,1963,,,,
arab world,1963,,,,
united arab emirates,1963,,,,
argentina,1963,,,,
armenia,1963,,,,
american samoa,1963,,,,
antigua and barbuda,1963,,,,
australia,1963,3284.050959,,,
austria,1963,1823.995225,,,
azerbaijan,1963,,,,
burundi,1963,,,,
belgium,1963,3043.306993,,,
benin,1963,,,,
burkina faso,1963,,,,
bangladesh,1963,,,,
bulgaria,1963,,,,
bahrain,1963,,,,
"bahamas, the",1963,,,,
bosnia and herzegovina,1963,,,,
belarus,1963,,,,
belize,1963,,,,
bermuda,1963,,,,
bolivia,1963,,,,
brazil,1963,,,,
barbados,1963,,,,
brunei darussalam,1963,,,,
bhutan,1963,,,,
botswana,1963,,,,
central african republic,1963,,,,
canada,1963,4694.12007,,,
central europe and the baltics,1963,,,,
switzerland,1963,1869.587498,,,
channel islands,1963,,,,
chile,1963,,,,
china,1963,,,,
cote d'ivoire,1963,,,,
cameroon,1963,,,,
"congo, dem. rep.",1963,,,,
"congo, rep.",1963,,,,
colombia,1963,,,,
comoros,1963,,,,
cabo verde,1963,,,,
costa rica,1963,,,,
caribbean small states,1963,,,,
cuba,1963,,,,
curacao,1963,,,,
cayman islands,1963,,,,
cyprus,1963,,,,
czech republic,1963,,,,
germany,1963,2281.289928,,,
djibouti,1963,,,,
dominica,1963,,,,
denmark,1963,2502.927644,,,
dominican republic,1963,,,,
algeria,1963,,,,
east asia & pacific (excluding high income),1963,,,,
early-demographic dividend,1963,,,,
east asia & pacific,1963,,,,
europe & central asia (excluding high income),1963,,,,
europe & central asia,1963,,,,
ecuador,1963,,,,
"egypt, arab rep.",1963,,,,
euro area,1963,1686.600327,,,
eritrea,1963,,,,
spain,1963,623.5181841,,,
estonia,1963,,,,
ethiopia,1963,,,,
european union,1963,1980.253975,,,
fragile and conflict affected situations,1963,,,,
finland,1963,2478.912009,,,
fiji,1963,,,,
france,1963,1983.466348,,,
faroe islands,1963,,,,
"micronesia, fed. sts.",1963,,,,
gabon,1963,,,,
united kingdom,1963,3196.831184,,,
georgia,1963,,,,
ghana,1963,,,,
gibraltar,1963,,,,
guinea,1963,,,,
"gambia, the",1963,,,,
guinea-bissau,1963,,,,
equatorial guinea,1963,,,,
greece,1963,367.8114303,,,
grenada,1963,,,,
greenland,1963,,,,
guatemala,1963,,,,
guam,1963,,,,
guyana,1963,,,,
high income,1963,3065.446565,,,
"hong kong sar, china",1963,,,,
honduras,1963,,,,
heavily indebted poor countries (hipc),1963,,,,
croatia,1963,,,,
haiti,1963,,,,
hungary,1963,,,,
ibrd only,1963,,,,
ida & ibrd total,1963,,,,
ida total,1963,,,,
ida blend,1963,,,,
indonesia,1963,,,,
ida only,1963,,,,
isle of man,1963,,,,
india,1963,,,,
not classified,1963,,,,
ireland,1963,1453.962105,,,
"iran, islamic rep.",1963,,,,
iraq,1963,,,,
iceland,1963,3279.602269,,,
israel,1963,,,,
italy,1963,1119.723172,,,
jamaica,1963,,,,
jordan,1963,,,,
japan,1963,1136.484868,,,
kazakhstan,1963,,,,
kenya,1963,,,,
kyrgyz republic,1963,,,,
cambodia,1963,,,,
kiribati,1963,,,,
st. kitts and nevis,1963,,,,
"korea, rep.",1963,,,,
kuwait,1963,,,,
latin america & caribbean (excluding high income),1963,,,,
lao pdr,1963,,,,
lebanon,1963,,,,
liberia,1963,,,,
libya,1963,,,,
st. lucia,1963,,,,
latin america & caribbean,1963,,,,
least developed countries: un classification,1963,,,,
low income,1963,,,,
liechtenstein,1963,,,,
sri lanka,1963,,,,
lower middle income,1963,,,,
low & middle income,1963,,,,
lesotho,1963,,,,
late-demographic dividend,1963,,,,
lithuania,1963,,,,
luxembourg,1963,10465.81302,,,
latvia,1963,,,,
"macao sar, china",1963,,,,
st. martin (french part),1963,,,,
morocco,1963,,,,
monaco,1963,,,,
moldova,1963,,,,
madagascar,1963,,,,
maldives,1963,,,,
middle east & north africa,1963,,,,
mexico,1963,,,,
marshall islands,1963,,,,
middle income,1963,,,,
north macedonia,1963,,,,
mali,1963,,,,
malta,1963,,,,
myanmar,1963,,,,
middle east & north africa (excluding high income),1963,,,,
montenegro,1963,,,,
mongolia,1963,,,,
northern mariana islands,1963,,,,
mozambique,1963,,,,
mauritania,1963,,,,
mauritius,1963,,,,
malawi,1963,,,,
malaysia,1963,,,,
north america,1963,5869.044418,,,
namibia,1963,,,,
new caledonia,1963,,,,
niger,1963,,,,
nigeria,1963,,,,
nicaragua,1963,,,,
netherlands,1963,2268.42789,,,
norway,1963,2182.993108,,,
nepal,1963,,,,
nauru,1963,,,,
new zealand,1963,1924.229007,,,
oecd members,1963,2956.050772,,,
oman,1963,,,,
other small states,1963,,,,
pakistan,1963,,,,
panama,1963,,,,
peru,1963,,,,
philippines,1963,,,,
palau,1963,,,,
papua new guinea,1963,,,,
poland,1963,1984.016736,,,
pre-demographic dividend,1963,,,,
puerto rico,1963,,,,
"korea, dem. people’s rep.",1963,,,,
portugal,1963,394.9389587,,,
paraguay,1963,,,,
west bank and gaza,1963,,,,
pacific island small states,1963,,,,
post-demographic dividend,1963,3123.515667,,,
french polynesia,1963,,,,
qatar,1963,,,,
romania,1963,,,,
