Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,8.4,,
Central African Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,3.3,,
Canada,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,8.9,,
Central Europe and the Baltics,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61587612,,,,,,12.17791339,,
Switzerland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,11.5,,
Channel Islands,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,9.3,,
China,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,7.2,,
Cote d'Ivoire,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,8.4,,
Cameroon,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,8.9,,
"Congo, Dem. Rep.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,2.6,,
"Congo, Rep.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,7.8,,
Colombia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5.8,,
Comoros,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,0.9,,
Cabo Verde,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,5.7,,
Costa Rica,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,4.8,,
Caribbean small states,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.470363027,,,,,,6.003929015,,
Cuba,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,6.1,,
Curacao,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,10.8,,
Czech Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,14.4,,
Germany,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,13.4,,
Djibouti,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.5,,
Dominica,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,8.2,,
Denmark,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,10.4,,
Dominican Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,6.9,,
Algeria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.9,,
East Asia & Pacific (excluding high income),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.061585205,,,,,,6.315350309,,
Early-demographic dividend,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.564670077,,,,,,4.070649414,,
East Asia & Pacific,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.287308277,,,,,,6.555982834,,
Europe & Central Asia (excluding high income),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19153247,,,,,,8.152026813,,
Europe & Central Asia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26269651,,,,,,9.88007807,,
Ecuador,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,4.4,,
"Egypt, Arab Rep.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,0.4,,
Euro area,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10711144,,,,,,11.16940639,,
Eritrea,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,1.3,,
Spain,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,10,,
Estonia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,11.6,,
Ethiopia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,2.9,,
European Union,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49470874,,,,,,11.33058637,,
Fragile and conflict affected situations,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.277192499,,,,,,2.532002417,,
Finland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,10.7,,
Fiji,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,
France,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,12.6,,
Faroe Islands,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,2.5,,
Gabon,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,11.5,,
United Kingdom,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,11.5,,
Georgia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,9.8,,
Ghana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,2.7,,
Gibraltar,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,1.3,,
"Gambia, The","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,3.8,,
Guinea-Bissau,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,4.8,,
Equatorial Guinea,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,11.3,,
Greece,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,10.4,,
Grenada,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,9.3,,
Greenland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,2.5,,
Guam,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,6.3,,
High income,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.673329889,,,,,,9.7467577,,
"Hong Kong SAR, China","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,4,,
Heavily indebted poor countries (HIPC),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.329080302,,,,,,4.005295028,,
Croatia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,8.9,,
Haiti,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,5.8,,
Hungary,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,11.4,,
IBRD only,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.147021309,,,,,,6.189058229,,
IDA & IBRD total,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.690000075,,,,,,5.722725642,,
IDA total,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.819503507,,,,,,3.965816292,,
IDA blend,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.148111552,,,,,,5.690351515,,
Indonesia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,
IDA only,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.118314797,,,,,,3.060718012,,
Isle of Man,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,5.7,,
Not classified,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,13,,
"Iran, Islamic Rep.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
Iraq,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.4,,
Iceland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,9.1,,
Israel,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3.8,,
Italy,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7.5,,
Jamaica,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,4.2,,
Jordan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.7,,
Japan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,8,,
Kazakhstan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,7.7,,
Kenya,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,3.4,,
Kyrgyz Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,6.2,,
Cambodia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,6.7,,
Kiribati,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,0.4,,
